iter	Passed	Remaining
927	8362	648
928	8372	639
929	8381	630
930	8390	621
931	8400	612
932	8409	603
933	8419	594
934	8428	585
935	8438	576
936	8447	567
937	8456	558
938	8465	549
939	8475	540
940	8484	531
941	8494	523
942	8504	514
943	8513	505
944	8523	496
945	8532	487
946	8541	478
947	8550	469
948	8560	460
949	8569	451
950	8578	442
951	8587	433
952	8597	423
953	8606	414
954	8616	405
955	8625	396
956	8634	387
957	8643	378
958	8653	369
959	8662	360
960	8671	351
961	8680	342
962	8690	333
963	8699	324
964	8708	315
965	8718	306
966	8727	297
967	8737	288
968	8746	279
969	8755	270
970	8765	261
971	8774	252
972	8783	243
973	8793	234
974	8802	225
975	8812	216
976	8821	207
977	8830	198
978	8844	189
979	8853	180
980	8862	171
981	8872	162
982	8881	153
983	8891	144
984	8901	135
985	8910	126
986	8919	117
987	8928	108
988	8939	99
989	8948	90
990	8957	81
991	8966	72
992	8975	63
993	8984	54
994	8993	45
995	9002	36
996	9011	27
997	9021	18
998	9030	9
999	9038	0
